Company,Year,Month,Revenue,Costs,Operating_Expenses,Marketing,R&D,Taxes
TechCorp,2023,1,1250000,450000,180000,75000,120000,85000
TechCorp,2023,2,1310000,470000,185000,78000,125000,89000
TechCorp,2023,3,1420000,510000,190000,82000,130000,97000
TechCorp,2023,4,1380000,495000,188000,80000,128000,94000
TechCorp,2023,5,1450000,520000,195000,85000,135000,99000
TechCorp,2023,6,1520000,545000,198000,88000,140000,104000
TechCorp,2023,7,1480000,530000,192000,86000,137000,101000
TechCorp,2023,8,1550000,555000,200000,90000,145000,106000
TechCorp,2023,9,1620000,580000,205000,93000,150000,111000
TechCorp,2023,10,1680000,600000,210000,96000,155000,115000
TechCorp,2023,11,1750000,625000,215000,99000,160000,120000
TechCorp,2023,12,1850000,660000,220000,105000,170000,127000
TechCorp,2024,1,1320000,475000,185000,79000,128000,90000
TechCorp,2024,2,1380000,495000,190000,82000,132000,94000
TechCorp,2024,3,1500000,540000,195000,86000,138000,102000
TechCorp,2024,4,1460000,525000,193000,84000,135000,99000
TechCorp,2024,5,1530000,550000,200000,89000,142000,104000
TechCorp,2024,6,1610000,580000,205000,92000,148000,110000
TechCorp,2024,7,1570000,565000,198000,90000,145000,107000
TechCorp,2024,8,1650000,595000,205000,94000,152000,113000
TechCorp,2024,9,1720000,620000,210000,97000,158000,118000
TechCorp,2024,10,1780000,640000,215000,100000,163000,122000
TechCorp,2024,11,1860000,670000,220000,103000,168000,128000
GlobalTrade,2023,1,2850000,1140000,380000,155000,95000,225000
GlobalTrade,2023,2,2920000,1168000,385000,158000,98000,230000
GlobalTrade,2023,3,3100000,1240000,395000,165000,105000,245000
GlobalTrade,2023,4,3050000,1220000,390000,162000,102000,241000
GlobalTrade,2023,5,3180000,1272000,400000,168000,108000,251000
GlobalTrade,2023,6,3280000,1312000,410000,172000,112000,259000
GlobalTrade,2023,7,3220000,1288000,405000,170000,110000,254000
GlobalTrade,2023,8,3350000,1340000,415000,175000,115000,264000
GlobalTrade,2023,9,3480000,1392000,425000,180000,120000,275000
GlobalTrade,2023,10,3580000,1432000,435000,185000,125000,283000
GlobalTrade,2023,11,3680000,1472000,445000,190000,130000,291000
GlobalTrade,2023,12,3850000,1540000,455000,198000,138000,304000
GlobalTrade,2024,1,3020000,1208000,390000,160000,100000,238000
GlobalTrade,2024,2,3100000,1240000,395000,163000,103000,245000
GlobalTrade,2024,3,3280000,1312000,405000,170000,110000,259000
GlobalTrade,2024,4,3230000,1292000,400000,167000,107000,255000
GlobalTrade,2024,5,3360000,1344000,410000,173000,113000,265000
GlobalTrade,2024,6,3470000,1388000,420000,178000,118000,274000
GlobalTrade,2024,7,3410000,1364000,415000,175000,115000,269000
GlobalTrade,2024,8,3550000,1420000,425000,180000,120000,280000
GlobalTrade,2024,9,3680000,1472000,435000,185000,125000,291000
GlobalTrade,2024,10,3790000,1516000,445000,190000,130000,299000
GlobalTrade,2024,11,3920000,1568000,455000,196000,136000,310000
RetailPlus,2023,1,890000,400500,125000,45000,15000,55000
RetailPlus,2023,2,920000,414000,128000,47000,16000,57000
RetailPlus,2023,3,980000,441000,132000,50000,18000,61000
RetailPlus,2023,4,960000,432000,130000,49000,17000,59000
RetailPlus,2023,5,1020000,459000,135000,52000,19000,63000
RetailPlus,2023,6,1080000,486000,138000,54000,21000,67000
RetailPlus,2023,7,1050000,472500,136000,53000,20000,65000
RetailPlus,2023,8,1100000,495000,140000,56000,22000,68000
RetailPlus,2023,9,1150000,517500,145000,58000,24000,71000
RetailPlus,2023,10,1200000,540000,148000,60000,26000,74000
RetailPlus,2023,11,1250000,562500,152000,62000,28000,77000
RetailPlus,2023,12,1320000,594000,156000,66000,31000,81000
RetailPlus,2024,1,940000,423000,130000,48000,17000,58000
RetailPlus,2024,2,980000,441000,133000,50000,18000,61000
RetailPlus,2024,3,1040000,468000,137000,53000,20000,64000
RetailPlus,2024,4,1020000,459000,135000,52000,19000,63000
RetailPlus,2024,5,1080000,486000,140000,55000,21000,67000
RetailPlus,2024,6,1150000,517500,143000,57000,23000,71000
RetailPlus,2024,7,1120000,504000,141000,56000,22000,69000
RetailPlus,2024,8,1170000,526500,145000,59000,24000,72000
RetailPlus,2024,9,1220000,549000,148000,61000,26000,75000
RetailPlus,2024,10,1270000,571500,152000,63000,28000,78000
RetailPlus,2024,11,1330000,598500,156000,65000,30000,82000
