التاريخ,الفئة,الوصف,المبلغ,طريقة_الدفع,القسم
2024-01-03,رواتب,رواتب شهر يناير,85000,تحويل بنكي,الموارد البشرية
2024-01-05,إيجار,إيجار المكتب الرئيسي,15000,تحويل بنكي,الإدارة
2024-01-08,مرافق,فاتورة الكهرباء,3500,بطاقة ائتمان,الإدارة
2024-01-10,مرافق,فاتورة المياه,800,نقدي,الإدارة
2024-01-12,تسويق,إعلانات جوجل,5000,بطاقة ائتمان,التسويق
2024-01-15,صيانة,صيانة المكيفات,1200,نقدي,الصيانة
2024-01-18,مرافق,فاتورة الإنترنت,1500,بطاقة ائتمان,تقنية المعلومات
2024-01-20,تأمين,تأمين المكتب,4000,تحويل بنكي,الإدارة
2024-01-22,مستلزمات,قرطاسية ومكتبية,800,نقدي,الإدارة
2024-01-25,نقل,وقود السيارات,2500,بطاقة ائتمان,اللوجستيات
2024-01-28,تدريب,دورة تدريبية للموظفين,6000,تحويل بنكي,الموارد البشرية
2024-02-03,رواتب,رواتب شهر فبراير,87000,تحويل بنكي,الموارد البشرية
2024-02-05,إيجار,إيجار المكتب الرئيسي,15000,تحويل بنكي,الإدارة
2024-02-08,مرافق,فاتورة الكهرباء,3200,بطاقة ائتمان,الإدارة
2024-02-10,تسويق,إعلانات سوشيال ميديا,4500,بطاقة ائتمان,التسويق
2024-02-12,صيانة,إصلاح الطابعات,600,نقدي,الصيانة
2024-02-15,مستلزمات,معدات مكتبية,2200,بطاقة ائتمان,الإدارة
2024-02-18,نقل,صيانة السيارات,3500,نقدي,اللوجستيات
2024-02-20,مرافق,فاتورة الهاتف,1800,بطاقة ائتمان,الإدارة
2024-02-22,تأمين,تأمين السيارات,5500,تحويل بنكي,اللوجستيات
2024-02-25,استشارات,استشارات قانونية,8000,تحويل بنكي,الإدارة
2024-02-28,تسويق,تصميم إعلانات,3000,بطاقة ائتمان,التسويق
2024-03-03,رواتب,رواتب شهر مارس,89000,تحويل بنكي,الموارد البشرية
2024-03-05,إيجار,إيجار المكتب الرئيسي,15000,تحويل بنكي,الإدارة
2024-03-08,مرافق,فاتورة الكهرباء,3800,بطاقة ائتمان,الإدارة
2024-03-10,تسويق,حملة إعلانية,12000,تحويل بنكي,التسويق
2024-03-12,صيانة,صيانة شبكة الحاسب,2500,نقدي,تقنية المعلومات
2024-03-15,مستلزمات,مستلزمات النظافة,600,نقدي,الإدارة
2024-03-18,نقل,وقود السيارات,2800,بطاقة ائتمان,اللوجستيات
2024-03-20,تدريب,ورشة عمل تقنية,4500,تحويل بنكي,تقنية المعلومات
2024-03-22,استشارات,استشارات محاسبية,5000,تحويل بنكي,المالية
2024-03-25,مرافق,فاتورة المياه,900,نقدي,الإدارة
2024-03-28,تأمين,تأمين صحي للموظفين,15000,تحويل بنكي,الموارد البشرية
2024-04-03,رواتب,رواتب شهر أبريل,90000,تحويل بنكي,الموارد البشرية
2024-04-05,إيجار,إيجار المكتب الرئيسي,15000,تحويل بنكي,الإدارة
2024-04-08,مرافق,فاتورة الكهرباء,4200,بطاقة ائتمان,الإدارة
2024-04-10,تسويق,إعلانات يوتيوب,6000,بطاقة ائتمان,التسويق
2024-04-12,صيانة,صيانة الأثاث,1500,نقدي,الصيانة
2024-04-15,مستلزمات,معدات إلكترونية,8500,بطاقة ائتمان,تقنية المعلومات
2024-04-18,نقل,تجديد رخص السيارات,2000,نقدي,اللوجستيات
2024-04-20,مرافق,فاتورة الإنترنت,1500,بطاقة ائتمان,تقنية المعلومات
2024-04-22,استشارات,استشارات إدارية,7000,تحويل بنكي,الإدارة
2024-04-25,تسويق,مطبوعات دعائية,2500,نقدي,التسويق
2024-04-28,صيانة,صيانة المصاعد,3000,نقدي,الصيانة
2024-05-03,رواتب,رواتب شهر مايو,92000,تحويل بنكي,الموارد البشرية
2024-05-05,إيجار,إيجار المكتب الرئيسي,15000,تحويل بنكي,الإدارة
2024-05-08,مرافق,فاتورة الكهرباء,3600,بطاقة ائتمان,الإدارة
